colour	x	y	key	showSelected1	showSelected2	showSelected3	PANEL	fill
#00BFFF	86.5	0	1	10	99	OPART	2	#00BFFF
#00BFFF	86.5	0	1	10	100	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	1	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	2	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	3	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	4	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	5	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	6	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	7	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	8	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	9	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	10	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	11	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	12	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	13	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	14	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	15	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	16	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	17	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	18	OPART	2	#00BFFF
#00BFFF	0.5	0	1	100	19	OPART	2	#00BFFF
